"Part","Value","Device","Package","Description"
"C11","0.1uF","0.1UF-0603-25V-(+80/-20%)","0603","0.1µF ceramic capacitors"
"C_CO1","47uF","47UF-POLAR-PANASONIC_C-35V-20%","PANASONIC_C","47µF polarized capacitors"
"C_CO2","47uF","47UF-POLAR-PANASONIC_C-35V-20%","PANASONIC_C","47µF polarized capacitors"
"C_CO3","10uF","10UF-0603-25V-(+80/-20%)","0603","10µF ceramic capacitors"
"C_UP","680pF","pF-0603-25V-(+80/-20%)","0603","680pF ceramic capacitors"
"C_VC1","47uF","22UF-POLAR-PANASONIC_C-35V-20%","PANASONIC_C","47µF polarized capacitors"
"J1","1X2-3.5MM","1X2-3.5MM","1X2-3.5MM","3.5mm Terminal block"
"JP2","3A","PINHD-1X4","1X04","PIN HEADER"
"L1","SRU1063-220Y","SRU1063-220Y","IND_SRU1063-220Y","Ind Power Shielded Wirewound 22uH 30% 100KHz 15Q-Factor Ferrite 3A T/R"
"L2","SRN4018-2R2M","SRN4018-2R7M","INDP4040X180N","Inductor Power Semi-Shielded Wirewound 47uH 20% 100KHz Ferrite 600mA 780mOhm DCR 1515 T/R"
"R_DW","5K1","5K1OHM-0603-1/10W-1%","0603","5.1kΩ resistor"
"R_UP","16K","16KOHM-0603-1/10W-1%","0603","16kΩ resistor"
"U$1","BD93291EFJ","BD93291EFJ","SOIC127P600X100-9N",
